date;elev_range;landcover_type;NDVI;year
1/01/2001;500-1000;Trees;0.275815937;2001
1/01/2001;1000-1500;Trees;0.10248424;2001
1/01/2001;1500-2000;Trees;-0.019675684;2001
1/01/2001;2000-2500;Trees;0.033750518;2001
1/01/2001;2500-3000;Trees;0.11865709;2001
1/01/2001;500-1000;Shrubland;0.078198961;2001
1/01/2001;1000-1500;Shrubland;0.026435714;2001
1/01/2001;1500-2000;Shrubland;0.01626;2001
1/01/2001;500-1000;Grassland;0.227656218;2001
1/01/2001;1000-1500;Grassland;0.030820891;2001
1/01/2001;1500-2000;Grassland;-0.033861364;2001
1/01/2001;2000-2500;Grassland;-0.040625747;2001
1/01/2001;2500-3000;Grassland;-0.04592826;2001
1/01/2001;3000-4000;Grassland;-0.048939801;2001
1/01/2001;500-1000;Cropland;0.08121589;2001
1/01/2001;1000-1500;Cropland;-0.02778647;2001
1/01/2001;1500-2000;Cropland;-0.031092691;2001
1/01/2001;2000-2500;Cropland;-0.032855174;2001
1/01/2001;2500-3000;Cropland;-0.037786047;2001
1/01/2001;500-1000;Bare;0.023735585;2001
1/01/2001;1000-1500;Bare;0.013531918;2001
1/01/2001;1500-2000;Bare;-0.021240384;2001
1/01/2001;2000-2500;Bare;-0.031022095;2001
1/01/2001;2500-3000;Bare;-0.042334978;2001
1/01/2001;3000-4000;Bare;-0.052423482;2001
1/01/2001;4000-10000;Bare;-0.063502454;2001
1/01/2001;500-1000;Wetland;0.195914286;2001
1/01/2001;1000-1500;Wetland;-0.013981679;2001
1/01/2001;1500-2000;Wetland;0.000732;2001
1/01/2001;2000-2500;Wetland;-0.02617551;2001
17/01/2001;500-1000;Trees;0.280331515;2001
17/01/2001;1000-1500;Trees;0.164028073;2001
17/01/2001;1500-2000;Trees;0.007279578;2001
17/01/2001;2000-2500;Trees;0.042038927;2001
17/01/2001;2500-3000;Trees;0.108618374;2001
17/01/2001;500-1000;Shrubland;0.224448052;2001
17/01/2001;1000-1500;Shrubland;0.032378571;2001
17/01/2001;1500-2000;Shrubland;0.07398;2001
17/01/2001;500-1000;Grassland;0.232452674;2001
17/01/2001;1000-1500;Grassland;0.07738184;2001
17/01/2001;1500-2000;Grassland;-0.025918506;2001
17/01/2001;2000-2500;Grassland;-0.032471413;2001
17/01/2001;2500-3000;Grassland;-0.037898079;2001
17/01/2001;3000-4000;Grassland;-0.040290953;2001
17/01/2001;500-1000;Cropland;0.195726292;2001
17/01/2001;1000-1500;Cropland;-0.028796528;2001
17/01/2001;1500-2000;Cropland;-0.026664738;2001
17/01/2001;2000-2500;Cropland;-0.027715589;2001
17/01/2001;2500-3000;Cropland;-0.028390698;2001
17/01/2001;500-1000;Bare;0.115739558;2001
17/01/2001;1000-1500;Bare;0.07282601;2001
17/01/2001;1500-2000;Bare;-0.013908475;2001
17/01/2001;2000-2500;Bare;-0.027004887;2001
17/01/2001;2500-3000;Bare;-0.036659475;2001
17/01/2001;3000-4000;Bare;-0.044097095;2001
17/01/2001;4000-10000;Bare;-0.050707018;2001
17/01/2001;500-1000;Wetland;0.187314286;2001
17/01/2001;1000-1500;Wetland;-0.007071638;2001
17/01/2001;1500-2000;Wetland;0.022838235;2001
17/01/2001;2000-2500;Wetland;-0.023674;2001
2/02/2001;500-1000;Trees;0.285390688;2001
2/02/2001;1000-1500;Trees;0.175150416;2001
2/02/2001;1500-2000;Trees;0.013508423;2001
2/02/2001;2000-2500;Trees;0.050503429;2001
2/02/2001;2500-3000;Trees;0.121937699;2001
2/02/2001;500-1000;Shrubland;0.193814805;2001
2/02/2001;1000-1500;Shrubland;0.031069231;2001
2/02/2001;1500-2000;Shrubland;0.0466;2001
2/02/2001;500-1000;Grassland;0.243739428;2001
2/02/2001;1000-1500;Grassland;0.102337264;2001
2/02/2001;1500-2000;Grassland;-0.020543388;2001
2/02/2001;2000-2500;Grassland;-0.029941781;2001
2/02/2001;2500-3000;Grassland;-0.032843049;2001
2/02/2001;3000-4000;Grassland;-0.03709644;2001
2/02/2001;500-1000;Cropland;0.203419768;2001
2/02/2001;1000-1500;Cropland;-0.020611736;2001
2/02/2001;1500-2000;Cropland;-0.026376508;2001
2/02/2001;2000-2500;Cropland;-0.029063255;2001
2/02/2001;2500-3000;Cropland;-0.025363043;2001
2/02/2001;500-1000;Bare;0.115345806;2001
2/02/2001;1000-1500;Bare;0.088830665;2001
2/02/2001;1500-2000;Bare;0.001558843;2001
2/02/2001;2000-2500;Bare;-0.027355248;2001
2/02/2001;2500-3000;Bare;-0.031504971;2001
2/02/2001;3000-4000;Bare;-0.036544713;2001
2/02/2001;4000-10000;Bare;-0.039041423;2001
2/02/2001;500-1000;Wetland;0.177257143;2001
2/02/2001;1000-1500;Wetland;-0.01500866;2001
2/02/2001;1500-2000;Wetland;0.038631106;2001
2/02/2001;2000-2500;Wetland;-0.031171429;2001
18/02/2001;500-1000;Trees;0.262567193;2001
18/02/2001;1000-1500;Trees;0.054625896;2001
18/02/2001;1500-2000;Trees;-0.01959729;2001
18/02/2001;2000-2500;Trees;0.029933225;2001
18/02/2001;2500-3000;Trees;0.065916003;2001
18/02/2001;500-1000;Shrubland;0.208995065;2001
18/02/2001;1000-1500;Shrubland;-0.033535714;2001
18/02/2001;1500-2000;Shrubland;0.05284;2001
18/02/2001;500-1000;Grassland;0.244462415;2001
18/02/2001;1000-1500;Grassland;0.06308104;2001
