date;elev_range;landcover_type;NDVI;year
1/01/2001;0-250;Trees;0.561996834;2001
1/01/2001;250-500;Trees;0.57267479;2001
1/01/2001;500-1000;Trees;0.556929045;2001
1/01/2001;1000-1500;Trees;0.575859574;2001
1/01/2001;1500-2000;Trees;0.395240824;2001
1/01/2001;2000-2500;Trees;0.114641251;2001
1/01/2001;0-250;Shrubland;0.571445463;2001
1/01/2001;250-500;Shrubland;0.571822519;2001
1/01/2001;500-1000;Shrubland;0.520701986;2001
1/01/2001;1000-1500;Shrubland;0.427904213;2001
1/01/2001;1500-2000;Shrubland;0.4358;2001
1/01/2001;0-250;Grassland;0.516113024;2001
1/01/2001;250-500;Grassland;0.461827434;2001
1/01/2001;500-1000;Grassland;0.39538979;2001
1/01/2001;1000-1500;Grassland;0.348024477;2001
1/01/2001;1500-2000;Grassland;0.127105105;2001
1/01/2001;2000-2500;Grassland;0.011066704;2001
1/01/2001;2500-3000;Grassland;-0.035667877;2001
1/01/2001;0-250;Cropland;0.450662024;2001
1/01/2001;250-500;Cropland;0.324339373;2001
1/01/2001;500-1000;Cropland;0.310764545;2001
1/01/2001;1000-1500;Cropland;0.261278044;2001
1/01/2001;1500-2000;Cropland;0.123865025;2001
1/01/2001;2000-2500;Cropland;0.01415;2001
1/01/2001;0-250;Bare;0.443758554;2001
1/01/2001;250-500;Bare;0.33835232;2001
1/01/2001;500-1000;Bare;0.320358868;2001
1/01/2001;1000-1500;Bare;0.250634354;2001
1/01/2001;1500-2000;Bare;0.121927739;2001
1/01/2001;2000-2500;Bare;0.021372435;2001
1/01/2001;2500-3000;Bare;-0.04535;2001
1/01/2001;0-250;Wetland;0.411917229;2001
1/01/2001;1000-1500;Wetland;0.5689;2001
1/01/2001;1500-2000;Wetland;0.3783;2001
17/01/2001;0-250;Trees;0.540980938;2001
17/01/2001;250-500;Trees;0.54681368;2001
17/01/2001;500-1000;Trees;0.505835607;2001
17/01/2001;1000-1500;Trees;0.382227023;2001
17/01/2001;1500-2000;Trees;0.249039843;2001
17/01/2001;2000-2500;Trees;0.091227606;2001
17/01/2001;0-250;Shrubland;0.557026033;2001
17/01/2001;250-500;Shrubland;0.558576669;2001
17/01/2001;500-1000;Shrubland;0.50377899;2001
17/01/2001;1000-1500;Shrubland;0.395699018;2001
17/01/2001;1500-2000;Shrubland;0.5154;2001
17/01/2001;0-250;Grassland;0.506912497;2001
17/01/2001;250-500;Grassland;0.446062202;2001
17/01/2001;500-1000;Grassland;0.373545579;2001
17/01/2001;1000-1500;Grassland;0.26922892;2001
17/01/2001;1500-2000;Grassland;0.075389619;2001
17/01/2001;2000-2500;Grassland;-0.008906108;2001
17/01/2001;2500-3000;Grassland;-0.03060698;2001
17/01/2001;0-250;Cropland;0.453401899;2001
17/01/2001;250-500;Cropland;0.325299464;2001
17/01/2001;500-1000;Cropland;0.301827557;2001
17/01/2001;1000-1500;Cropland;0.239024708;2001
17/01/2001;1500-2000;Cropland;0.122143536;2001
17/01/2001;2000-2500;Cropland;0.00595;2001
17/01/2001;0-250;Bare;0.420649132;2001
17/01/2001;250-500;Bare;0.327248431;2001
17/01/2001;500-1000;Bare;0.304077679;2001
17/01/2001;1000-1500;Bare;0.230475368;2001
17/01/2001;1500-2000;Bare;0.116042725;2001
17/01/2001;2000-2500;Bare;0.002970537;2001
17/01/2001;2500-3000;Bare;-0.0447;2001
17/01/2001;0-250;Wetland;0.392726806;2001
17/01/2001;1000-1500;Wetland;0.05185;2001
17/01/2001;1500-2000;Wetland;0.3678;2001
2/02/2001;0-250;Trees;0.555672853;2001
2/02/2001;250-500;Trees;0.561153616;2001
2/02/2001;500-1000;Trees;0.545142253;2001
2/02/2001;1000-1500;Trees;0.499373579;2001
2/02/2001;1500-2000;Trees;0.257275161;2001
2/02/2001;2000-2500;Trees;0.085296442;2001
2/02/2001;0-250;Shrubland;0.562392516;2001
