date;elev_range;landcover_type;NDVI;year
1/01/2001;0-250;Trees;0.586314144;2001
1/01/2001;250-500;Trees;0.602499637;2001
1/01/2001;500-1000;Trees;0.565731419;2001
1/01/2001;1000-1500;Trees;0.591243747;2001
1/01/2001;1500-2000;Trees;0.52910245;2001
1/01/2001;2000-2500;Trees;0.075221515;2001
1/01/2001;0-250;Shrubland;0.550220767;2001
1/01/2001;250-500;Shrubland;0.561795466;2001
1/01/2001;500-1000;Shrubland;0.487816456;2001
1/01/2001;1000-1500;Shrubland;0.454039214;2001
1/01/2001;1500-2000;Shrubland;0.478316667;2001
1/01/2001;0-250;Grassland;0.525803795;2001
1/01/2001;250-500;Grassland;0.499222252;2001
1/01/2001;500-1000;Grassland;0.362186274;2001
1/01/2001;1000-1500;Grassland;0.361724129;2001
1/01/2001;1500-2000;Grassland;0.151091543;2001
1/01/2001;2000-2500;Grassland;-0.027483758;2001
1/01/2001;0-250;Cropland;0.37062849;2001
1/01/2001;250-500;Cropland;0.350154268;2001
1/01/2001;500-1000;Cropland;0.251061311;2001
1/01/2001;1000-1500;Cropland;0.311296505;2001
1/01/2001;1500-2000;Cropland;0.28645;2001
1/01/2001;0-250;Bare;0.406380848;2001
1/01/2001;250-500;Bare;0.379727517;2001
1/01/2001;500-1000;Bare;0.297970561;2001
1/01/2001;1000-1500;Bare;0.360951204;2001
1/01/2001;1500-2000;Bare;0.318793734;2001
1/01/2001;2000-2500;Bare;-0.0227;2001
1/01/2001;0-250;Wetland;0.322075807;2001
1/01/2001;250-500;Wetland;0.4016;2001
17/01/2001;0-250;Trees;0.58300813;2001
17/01/2001;250-500;Trees;0.58789712;2001
17/01/2001;500-1000;Trees;0.552521018;2001
17/01/2001;1000-1500;Trees;0.578348148;2001
17/01/2001;1500-2000;Trees;0.536680224;2001
17/01/2001;2000-2500;Trees;0.13079374;2001
17/01/2001;0-250;Shrubland;0.549109023;2001
17/01/2001;250-500;Shrubland;0.550422893;2001
17/01/2001;500-1000;Shrubland;0.482018;2001
17/01/2001;1000-1500;Shrubland;0.45216273;2001
17/01/2001;1500-2000;Shrubland;0.500416667;2001
17/01/2001;0-250;Grassland;0.53282782;2001
17/01/2001;250-500;Grassland;0.496969122;2001
17/01/2001;500-1000;Grassland;0.358101852;2001
17/01/2001;1000-1500;Grassland;0.356120834;2001
17/01/2001;1500-2000;Grassland;0.196895056;2001
17/01/2001;2000-2500;Grassland;-0.000924;2001
17/01/2001;0-250;Cropland;0.385826058;2001
17/01/2001;250-500;Cropland;0.354762186;2001
17/01/2001;500-1000;Cropland;0.252172253;2001
17/01/2001;1000-1500;Cropland;0.303042775;2001
17/01/2001;1500-2000;Cropland;0.2646;2001
17/01/2001;0-250;Bare;0.408215614;2001
17/01/2001;250-500;Bare;0.370804516;2001
17/01/2001;500-1000;Bare;0.287498812;2001
17/01/2001;1000-1500;Bare;0.345112894;2001
17/01/2001;1500-2000;Bare;0.323248832;2001
17/01/2001;2000-2500;Bare;0.0229;2001
17/01/2001;0-250;Wetland;0.332489681;2001
17/01/2001;250-500;Wetland;0.4001;2001
2/02/2001;0-250;Trees;0.609003149;2001
2/02/2001;250-500;Trees;0.61629578;2001
2/02/2001;500-1000;Trees;0.574430163;2001
2/02/2001;1000-1500;Trees;0.566494733;2001
2/02/2001;1500-2000;Trees;0.269470147;2001
2/02/2001;2000-2500;Trees;0.019769579;2001
2/02/2001;0-250;Shrubland;0.567753597;2001
2/02/2001;250-500;Shrubland;0.57201922;2001
2/02/2001;500-1000;Shrubland;0.496260652;2001
2/02/2001;1000-1500;Shrubland;0.454966846;2001
2/02/2001;1500-2000;Shrubland;0.41485;2001
2/02/2001;0-250;Grassland;0.568900411;2001
2/02/2001;250-500;Grassland;0.535058013;2001
2/02/2001;500-1000;Grassland;0.388895129;2001
2/02/2001;1000-1500;Grassland;0.360506687;2001
2/02/2001;1500-2000;Grassland;0.002349872;2001
2/02/2001;2000-2500;Grassland;-0.039458211;2001
2/02/2001;0-250;Cropland;0.441284894;2001
2/02/2001;250-500;Cropland;0.407939227;2001
2/02/2001;500-1000;Cropland;0.289958929;2001
2/02/2001;1000-1500;Cropland;0.330958405;2001
2/02/2001;1500-2000;Cropland;0.09225;2001
2/02/2001;0-250;Bare;0.44207359;2001
2/02/2001;250-500;Bare;0.409224739;2001
2/02/2001;500-1000;Bare;0.318169921;2001
2/02/2001;1000-1500;Bare;0.357101611;2001
2/02/2001;1500-2000;Bare;0.039370805;2001
2/02/2001;2000-2500;Bare;-0.02885;2001
2/02/2001;0-250;Wetland;0.346158761;2001
2/02/2001;250-500;Wetland;0.4665;2001
18/02/2001;0-250;Trees;0.597692549;2001
18/02/2001;250-500;Trees;0.589678512;2001
18/02/2001;500-1000;Trees;0.543451016;2001
18/02/2001;1000-1500;Trees;0.541488721;2001
18/02/2001;1500-2000;Trees;0.40236322;2001
18/02/2001;2000-2500;Trees;0.108148454;2001
18/02/2001;0-250;Shrubland;0.556963234;2001
18/02/2001;250-500;Shrubland;0.552260973;2001
18/02/2001;500-1000;Shrubland;0.476127835;2001
18/02/2001;1000-1500;Shrubland;0.435364274;2001
